experiment,time,Biomass,Sub
0,0.0,0.04517860888615023,0.13727843974486884
0,50.0,0.05933177603740361,0.12265020568954167
0,100.0,0.08765490339333916,0.10223003858797064
0,250.0,0.1829218270730191,9.361408716434041e-06
0,400.0,0.1828783386081513,4.9053905256292735e-12
0,600.0,0.1867775814717836,1.903910687055308e-12
1,0.0,0.04958351651338179,0.3481089055569662
1,50.0,0.07273641366675353,0.07856458517355436
1,100.0,0.10668901506405024,0.055714526897903315
1,250.0,0.16569536690480474,4.9513431206694885e-11
1,400.0,0.1598451721457484,1.1100129171801569e-11
1,600.0,0.1500622380853686,0.0
2,0.0,0.03772553901367294,0.1209129501616342
2,50.0,0.06403332767683635,0.10523553320847925
2,100.0,0.08998136677925438,0.07709893825287406
2,250.0,0.15879679059605473,3.5243861485129475e-10
2,400.0,0.16710259127137317,0.0
2,600.0,0.1610463032137686,0.0
3,0.0,0.04331120145965811,0.13870727555338466
3,50.0,0.06753611373278043,0.11515712710957834
3,100.0,0.08611457021355726,0.09815760264071403
3,250.0,0.17715965204088333,3.8199028847264435e-09
3,400.0,0.16933355156785387,0.0
3,600.0,0.18732224268382244,0.0
4,0.0,0.04709898930742111,0.13614887483256785
4,50.0,0.06947221757182573,0.10527355143716453
4,100.0,0.09433734730794739,0.08021820158875873
4,250.0,0.1706082955056854,1.9740143606523497e-08
4,400.0,0.17579881382675003,0.0
4,600.0,0.17373588993888764,0.0
