Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
88;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0,376014302;0,005819111;1,547577119;
89;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0,54957424;0,01719159;3,128165218;
90;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,446273808;0,000976127;0,21872821;
91;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,508840434;0,007991322;1,570496595;
92;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,662299079;0,00388911;0,587213546;
93;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,843083375;0,007583913;0,899544827;
94;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,741408894;0,001261766;0,170184849;
95;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0,364436332;0,001141852;0,313320122;
96;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0,465206459;0,006518875;1,401286429;
97;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0,37780105;0,002231845;0,590746175;
98;0;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0,518796914;0,020089725;3,872367941;
99;0;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0,387376668;0,00314326;0,811422238;
100;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0,502193113;0,020999594;4,18157744;Duplicat
101;0;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,374779673;0,004860307;1,296843835;
102;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,41077397;0,002105463;0,512560076;
103;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,594126626;0,007738207;1,302450724;
104;0;1;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,575430471;0,004363608;0,758320674;
105;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,656462119;0,002997223;0,456572117;
106;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,65768317;0,001996659;0,303589813;
107;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,795600058;0,023914035;3,005786041;
108;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,497970232;0,00151722;0,304680871;
109;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,660474649;0,014334417;2,170320525;
110;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0,475441962;0,004549723;0,956945996;
111;0;1;0;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0,420517625;0,004968404;1,18149721;
112;0;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,476342245;0,004618575;0,969591699;
113;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,541690923;0,035391292;6,533484411;
114;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,56709068;0,005155272;0,909073723;
115;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,527964889;0,038137878;7,223563356;
116;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,430419885;0,002632819;0,61168614;
117;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0,468239523;0,018800046;4,015048938;
118;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0,477947913;0,056408252;11,80217571;
119;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,492902398;0,007519377;1,525530546;
120;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,695969904;0,019891377;2,858080051;
121;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0,394885242;0,034782916;8,808360546;
122;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0,477872729;0,057141768;11,95752846;
123;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0,428893131;0,003154056;0,735394325;
124;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,523029248;0,003288624;0,628764859;
125;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0,576671431;0,002795539;0,484771605;
