Time,Biomass,Sub,Ca,Cl,Co,Cu,Fe,Mg,Mo,Na,Zn,K,Ni,NH4,P,S,CO2_l,CO2_g,O2_l,O2_g,H,OH
0.0,0.1,10.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.2,0.2,0.05,0.05
0.10020040080160321,0.10197312152978831,9.995953581635732,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.09599381774393062,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.04591868626541159,0.0508755487616407,0.2999943489520635,-0.09322778698086913,0.19798191847466795,0.1918948430804904,0.0541265586080223,0.050035061356642214
0.20040080160320642,0.10398517514529938,9.991829349275477,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0918898411505646,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.0417396158251203,0.051748662962662804,0.30141697333768375,-0.08774745909714948,0.19792802067854712,0.1816268317082011,0.05833089107166509,0.050070105151874
0.30060120240480964,0.10603692902388791,9.987625766539393,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.08768615000898354,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.03746086844935893,0.05261930443860445,0.30141901341478666,-0.08071148680743744,0.19788739448366366,0.17114299767896055,0.06261453379087481,0.05010513139449147
0.40080160320641284,0.1081291664999697,9.983341266733529,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.08338078621549967,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.03308048601560044,0.05348743426702829,0.30139345717427274,-0.07351022150629273,0.19784624016056138,0.1604531443135655,0.06697905347969758,0.05014014009328631
0.5010020040080161,0.11026268636416021,9.97897425225155,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.07897175302580996,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.028596471760711804,0.05435301275256466,0.3013958663951582,-0.06619650905417307,0.1978039920923231,0.14955376169584775,0.07142604776455602,0.0501751312570458
0.6012024048096193,0.1124383031681404,9.974523093964997,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.07445701429283122,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.024006789518789422,0.05521599941166832,0.30153591888069214,-0.05887725880797239,0.19775954884833286,0.1384417953188467,0.07595714579398112,0.05021010489455283
0.7014028056112225,0.11465684753567454,9.969986130601264,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.06983449368915555,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.019309362943614315,0.05607635295706762,0.30149454016547117,-0.05123056461267186,0.19771605137147327,0.12710986621518858,0.08057400886064807,0.05024506101458591
0.8016032064128257,0.11691916647978012,9.965361668109244,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.06510207391412595,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.014502074715727887,0.05693403128190608,0.30156908967566526,-0.043550910786876354,0.1976705403967883,0.11555661212703389,0.08527833103571568,0.05027999962591911
0.9018036072144289,0.1192261237260342,9.960647979012727,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.06025759588557046,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.009582765734165935,0.05778899144357714,0.30149442995410514,-0.035570216669111414,0.197625622481715,0.10377501959296512,0.09007183981543931,0.05031492073732212
