,Value
Biomass,0.1
Sub,10.0
Ca,0.05
Cl,0.05
Co,0.05
Cu,0.05
Fe,0.05
Mg,0.05
Mo,0.05
Na,0.1
Zn,0.05
K,0.05
Ni,0.05
NH4,0.05
P,0.05
S,0.05
CO2_l,0.1
CO2_g,0.1
O2_l,0.2
O2_g,0.2
H,0.05
OH,0.05
