State,Unit
Subs,mol
Biomass,g
Ca,mol
Cl,mol
Co,mol
Cu,mol
Fe,mol
Mg,mol
Mo,mol
Na,mol
Zn,mol
K,mol
Ni,mol
NH4,mol
P,mol
S,mol
CO2_l,mol
CO2_g,mol
O2_l,mol
O2_g,mol
H,mol
OH,mol
